frame_number,pict_type,key_frame,pkt_size,pts_time
0,I,1,61596,0.0
1,B,0,24411,0.041667
2,P,0,44906,0.083333
3,B,0,26914,0.125
4,B,0,23520,0.166667
5,P,0,44985,0.208333
6,B,0,27144,0.25
7,B,0,22934,0.291667
8,P,0,46562,0.333333
9,B,0,23277,0.375
10,P,0,42604,0.416667
11,P,0,35949,0.458333
12,B,0,21709,0.5
13,P,0,38536,0.541667
14,B,0,22792,0.583333
15,P,0,43128,0.625
16,B,0,23206,0.666667
17,B,0,34245,0.708333
18,B,0,25200,0.75
19,P,0,47946,0.791667
20,P,0,35605,0.833333
21,B,0,26933,0.875
22,B,0,24625,0.916667
23,P,0,44616,0.958333
24,B,0,24172,1.0
25,P,0,41903,1.041667
26,B,0,24974,1.083333
27,P,0,40350,1.125
28,B,0,26617,1.166667
29,B,0,22639,1.208333
30,P,0,41330,1.25
31,B,0,23153,1.291667
32,B,0,31073,1.333333
33,B,0,22187,1.375
34,P,0,43594,1.416667
35,B,0,24259,1.458333
36,B,0,21115,1.5
37,P,0,38571,1.541667
38,B,0,23785,1.583333
39,B,0,21149,1.625
40,P,0,38280,1.666667
41,B,0,19524,1.708333
42,B,0,26373,1.75
43,B,0,18848,1.791667
44,P,0,40094,1.833333
45,B,0,21105,1.875
46,B,0,18295,1.916667
47,P,0,35910,1.958333
48,B,0,23548,2.0
49,B,0,19262,2.041667
50,P,0,37335,2.083333
51,B,0,18728,2.125
52,B,0,26737,2.166667
53,B,0,18769,2.208333
54,P,0,37841,2.25
55,B,0,21920,2.291667
56,B,0,19759,2.333333
57,P,0,36534,2.375
58,B,0,19387,2.416667
59,B,0,26579,2.458333
60,B,0,19431,2.5
61,P,0,38314,2.541667
62,B,0,19432,2.583333
63,B,0,27351,2.625
64,B,0,19529,2.666667
65,P,0,36949,2.708333
66,B,0,19197,2.75
67,B,0,26820,2.791667
68,B,0,19376,2.833333
69,P,0,36868,2.875
70,B,0,18642,2.916667
71,P,0,32082,2.958333
72,B,0,19394,3.0
73,B,0,27172,3.041667
74,B,0,19397,3.083333
75,P,0,37178,3.125
76,B,0,19983,3.166667
77,B,0,26919,3.208333
78,B,0,19703,3.25
79,P,0,35410,3.291667
80,B,0,22800,3.333333
81,B,0,20607,3.375
82,P,0,37603,3.416667
83,B,0,19898,3.458333
84,B,0,30611,3.5
85,B,0,20330,3.541667
86,P,0,39980,3.583333
87,B,0,21630,3.625
88,B,0,30364,3.666667
89,B,0,21320,3.708333
90,P,0,48012,3.75
91,B,0,21309,3.791667
92,B,0,35471,3.833333
93,B,0,23824,3.875
94,P,0,47018,3.916667
95,B,0,23548,3.958333
96,B,0,33151,4.0
97,B,0,23195,4.041667
98,P,0,52348,4.083333
99,B,0,26051,4.125
100,B,0,41915,4.166667
101,B,0,27604,4.208333
102,P,0,50666,4.25
103,B,0,26652,4.291667
104,B,0,35823,4.333333
105,B,0,24390,4.375
106,P,0,50563,4.416667
107,B,0,24128,4.458333
108,B,0,36882,4.5
109,B,0,25819,4.541667
110,P,0,48003,4.583333
111,B,0,24099,4.625
112,B,0,33126,4.666667
113,B,0,22980,4.708333
114,P,0,48104,4.75
115,B,0,22153,4.791667
116,B,0,35445,4.833333
117,B,0,23219,4.875
118,P,0,42942,4.916667
119,B,0,21583,4.958333
120,B,0,29786,5.0
121,B,0,19677,5.041667
122,P,0,43375,5.083333
123,B,0,19165,5.125
124,B,0,30837,5.166667
125,B,0,19766,5.208333
126,P,0,38371,5.25
127,B,0,18391,5.291667
128,B,0,24918,5.333333
129,B,0,16050,5.375
130,P,0,35727,5.416667
131,B,0,15662,5.458333
132,B,0,24519,5.5
133,B,0,15370,5.541667
134,P,0,30827,5.583333
135,B,0,14828,5.625
136,B,0,18876,5.666667
137,B,0,12363,5.708333
138,P,0,30262,5.75
139,B,0,12144,5.791667
140,B,0,18948,5.833333
141,B,0,11949,5.875
142,P,0,28040,5.916667
143,B,0,11663,5.958333
144,B,0,15930,6.0
145,B,0,10388,6.041667
146,P,0,28074,6.083333
147,B,0,10152,6.125
148,B,0,15248,6.166667
149,B,0,9291,6.208333
150,P,0,25310,6.25
151,B,0,9414,6.291667
152,B,0,12418,6.333333
153,B,0,7696,6.375
154,P,0,25255,6.416667
155,B,0,8113,6.458333
156,B,0,12575,6.5
157,B,0,7996,6.541667
158,P,0,22289,6.583333
159,B,0,8637,6.625
160,B,0,11163,6.666667
161,B,0,7362,6.708333
162,P,0,24085,6.75
163,B,0,7666,6.791667
164,B,0,12923,6.833333
165,B,0,8217,6.875
166,P,0,21532,6.916667
167,B,0,8300,6.958333
168,B,0,10973,7.0
169,B,0,7450,7.041667
170,P,0,23338,7.083333
171,B,0,8155,7.125
172,B,0,14466,7.166667
173,B,0,8651,7.208333
174,P,0,20233,7.25
175,B,0,8661,7.291667
176,B,0,12274,7.333333
177,B,0,8168,7.375
178,P,0,23109,7.416667
179,B,0,8597,7.458333
180,B,0,15702,7.5
181,B,0,9136,7.541667
182,P,0,20485,7.583333
183,B,0,8835,7.625
184,B,0,12401,7.666667
185,B,0,8414,7.708333
186,P,0,22603,7.75
187,B,0,9087,7.791667
188,B,0,15981,7.833333
189,B,0,9553,7.875
190,P,0,16901,7.916667
191,P,0,11120,7.958333
