frame_number,timestamp_sec,center_x,center_y,angle_degrees,velocity_x,velocity_y
0,0.0,645.0,363.0,0.0,5.0,3.0
1,0.0417,650.0,366.0,3.0,5.0,3.0
2,0.0833,655.0,369.0,6.0,5.0,3.0
3,0.125,660.0,372.0,9.0,5.0,3.0
4,0.1667,665.0,375.0,12.0,5.0,3.0
5,0.2083,670.0,378.0,15.0,5.0,3.0
6,0.25,675.0,381.0,18.0,5.0,3.0
7,0.2917,680.0,384.0,21.0,5.0,3.0
8,0.3333,685.0,387.0,24.0,5.0,3.0
9,0.375,690.0,390.0,27.0,5.0,3.0
10,0.4167,695.0,393.0,30.0,5.0,3.0
11,0.4583,700.0,396.0,33.0,5.0,3.0
12,0.5,705.0,399.0,36.0,5.0,3.0
13,0.5417,710.0,402.0,39.0,5.0,3.0
14,0.5833,715.0,405.0,42.0,5.0,3.0
15,0.625,720.0,408.0,45.0,5.0,3.0
16,0.6667,725.0,411.0,48.0,5.0,3.0
17,0.7083,730.0,414.0,51.0,5.0,3.0
18,0.75,735.0,417.0,54.0,5.0,3.0
19,0.7917,740.0,420.0,57.0,5.0,3.0
20,0.8333,745.0,423.0,60.0,5.0,3.0
21,0.875,750.0,426.0,63.0,5.0,3.0
22,0.9167,755.0,429.0,66.0,5.0,3.0
23,0.9583,760.0,432.0,69.0,5.0,3.0
24,1.0,765.0,435.0,72.0,5.0,3.0
25,1.0417,770.0,438.0,75.0,5.0,3.0
26,1.0833,775.0,441.0,78.0,5.0,3.0
27,1.125,780.0,444.0,81.0,5.0,3.0
28,1.1667,785.0,447.0,84.0,5.0,3.0
29,1.2083,790.0,450.0,87.0,5.0,3.0
30,1.25,795.0,453.0,90.0,5.0,3.0
31,1.2917,800.0,456.0,93.0,5.0,3.0
32,1.3333,805.0,459.0,96.0,5.0,3.0
33,1.375,810.0,462.0,99.0,5.0,3.0
34,1.4167,815.0,465.0,102.0,5.0,3.0
35,1.4583,820.0,468.0,105.0,5.0,3.0
36,1.5,825.0,471.0,108.0,5.0,3.0
37,1.5417,830.0,474.0,111.0,5.0,3.0
38,1.5833,835.0,477.0,114.0,5.0,3.0
39,1.625,840.0,480.0,117.0,5.0,3.0
40,1.6667,845.0,483.0,120.0,5.0,3.0
41,1.7083,850.0,486.0,123.0,5.0,3.0
42,1.75,855.0,489.0,126.0,5.0,3.0
43,1.7917,860.0,492.0,129.0,5.0,3.0
44,1.8333,865.0,495.0,132.0,5.0,3.0
45,1.875,870.0,498.0,135.0,5.0,3.0
46,1.9167,875.0,501.0,138.0,5.0,3.0
47,1.9583,880.0,504.0,141.0,5.0,3.0
48,2.0,885.0,507.0,144.0,5.0,3.0
49,2.0417,890.0,510.0,147.0,5.0,3.0
50,2.0833,895.0,513.0,150.0,5.0,3.0
51,2.125,900.0,516.0,153.0,5.0,3.0
52,2.1667,905.0,519.0,156.0,5.0,3.0
53,2.2083,910.0,522.0,159.0,5.0,3.0
54,2.25,915.0,525.0,162.0,5.0,3.0
55,2.2917,920.0,528.0,165.0,5.0,3.0
56,2.3333,925.0,531.0,168.0,5.0,3.0
57,2.375,930.0,534.0,171.0,5.0,3.0
58,2.4167,935.0,537.0,174.0,5.0,3.0
59,2.4583,940.0,540.0,177.0,5.0,3.0
60,2.5,945.0,543.0,180.0,5.0,3.0
61,2.5417,950.0,546.0,183.0,5.0,3.0
62,2.5833,955.0,549.0,186.0,5.0,3.0
63,2.625,960.0,552.0,189.0,5.0,3.0
64,2.6667,965.0,555.0,192.0,5.0,3.0
65,2.7083,970.0,558.0,195.0,5.0,3.0
66,2.75,975.0,561.0,198.0,5.0,3.0
67,2.7917,980.0,564.0,201.0,5.0,3.0
68,2.8333,985.0,567.0,204.0,5.0,3.0
69,2.875,990.0,570.0,207.0,5.0,3.0
70,2.9167,995.0,573.0,210.0,5.0,3.0
71,2.9583,1000.0,576.0,213.0,5.0,3.0
72,3.0,1005.0,579.0,216.0,5.0,3.0
73,3.0417,1010.0,582.0,219.0,5.0,3.0
74,3.0833,1015.0,585.0,222.0,5.0,3.0
75,3.125,1020.0,588.0,225.0,5.0,3.0
76,3.1667,1025.0,591.0,228.0,5.0,3.0
77,3.2083,1030.0,594.0,231.0,5.0,3.0
78,3.25,1035.0,597.0,234.0,5.0,3.0
79,3.2917,1040.0,600.0,237.0,5.0,3.0
80,3.3333,1045.0,603.0,240.0,5.0,3.0
81,3.375,1050.0,606.0,243.0,5.0,3.0
82,3.4167,1055.0,608.2,246.0,5.0,-3.0
83,3.4583,1060.0,605.2,249.0,5.0,-3.0
84,3.5,1065.0,602.2,252.0,5.0,-3.0
85,3.5417,1070.0,599.2,255.0,5.0,-3.0
86,3.5833,1075.0,596.2,258.0,5.0,-3.0
87,3.625,1080.0,593.2,261.0,5.0,-3.0
88,3.6667,1085.0,590.2,264.0,5.0,-3.0
89,3.7083,1090.0,587.2,267.0,5.0,-3.0
